record_id,date,property_type,location,competitor_price,dynamic_price,demand_forecast,available_units,units_sold,revenue,resource_utilization,customer_id,customer_age,customer_gender,loyalty_tier,booking_channel,booking_lead_time_days,segment,campaign_id,promo_sent,promo_response,promo_click_rate,sentiment_score,ancillary_purchase,avg_spend_on_site,staff_hours,maintenance_flag,energy_consumption,delay_minutes,risk_level,route_distance_km,flight_speed_knots,fdm_anomaly_flag
1,2024-03-11,Flight,CDG,300.39,405.11,0.85,335,284,115051.24,0.848,40891,31,F,None,Corporate,106,Business,NONE,False,False,0.0,0.72,True,116.99,23.37,False,1938.23,3.5,Medium,5313.0,887.42,False
2,2024-12-21,Hotel,SIN,165.35,218.17,0.82,202,160,34907.2,0.792,24511,40,M,Silver,Direct,66,Leisure,CAMP_A,True,False,0.06,-0.12,False,42.06,5.79,False,165.98,4.19,Low,,,
3,2024-04-29,Flight,CDG,512.68,536.36,0.55,136,73,39154.28,0.537,10155,43,F,None,Direct,114,Other,CAMP_B,True,True,0.32,0.43,False,12.3,34.23,False,2039.44,16.45,Low,10095.0,832.44,False
4,2024-04-10,Flight,SYD,448.13,633.8,0.91,379,344,218027.2,0.908,45687,21,F,Platinum,Direct,85,Business,CAMP_B,True,False,0.11,0.3,False,17.08,20.38,False,2149.73,14.77,Medium,6027.0,835.16,False
5,2024-05-25,Hotel,SIN,236.61,263.19,0.61,237,146,38425.74,0.616,19426,22,M,None,OTA,55,Business,CAMP_B,True,True,0.18,-0.21,False,41.81,5.98,False,217.17,12.72,Medium,,,
6,2024-08-17,Hotel,SYD,220.83,221.33,0.5,182,90,19919.7,0.495,47334,34,F,Gold,Direct,12,Business,CAMP_A,True,False,0.37,0.54,True,16.37,8.58,False,129.82,1.59,Medium,,,
7,2024-11-19,Hotel,CDG,139.47,163.18,0.67,163,110,17949.8,0.675,38948,70,F,Silver,OTA,53,Business,CAMP_A,True,False,0.05,-0.26,True,58.06,8.04,False,136.69,9.37,Low,,,
8,2024-12-08,Flight,SIN,604.53,856.17,0.92,164,151,129281.67,0.921,25841,66,F,None,Agent,107,Family,CAMP_A,True,True,0.1,-0.38,False,81.23,33.07,False,1590.4,7.24,Low,8590.0,821.8,False
9,2024-08-25,Flight,DXB,197.4,235.53,0.69,321,225,52994.25,0.701,29787,48,M,Gold,Agent,9,Business,NONE,False,False,0.0,0.08,False,57.37,32.86,False,1583.9,1.64,Low,1788.0,813.77,False
10,2024-10-21,Hotel,JFK,225.88,327.29,0.95,60,52,17019.08,0.867,39089,50,M,None,OTA,111,Business,NONE,False,False,0.0,-0.01,False,74.59,5.31,False,149.42,0.28,Low,,,
11,2024-03-20,Flight,SYD,578.53,708.29,0.72,360,256,181322.24,0.711,23060,24,F,None,Corporate,82,Other,NONE,False,False,0.0,-0.04,False,10.87,28.87,False,2605.33,6.34,Low,12771.0,811.42,False
12,2024-01-04,Hotel,CDG,148.88,178.09,0.7,289,198,35261.82,0.685,19792,69,F,Gold,Agent,112,Family,NONE,False,False,0.0,0.2,False,22.57,9.89,False,179.4,0.43,Low,,,
13,2024-12-25,Flight,LHR,293.86,382.28,0.8,214,171,65369.88,0.799,21383,43,M,None,Corporate,54,Leisure,NONE,False,False,0.0,0.01,True,5.14,43.6,False,1888.95,10.91,Low,7302.0,897.97,False
14,2024-03-12,Hotel,HKG,216.52,310.75,0.94,112,107,33250.25,0.955,26929,65,F,Gold,Agent,45,Family,CAMP_B,True,False,0.02,0.21,False,103.1,7.21,False,158.67,12.31,Medium,,,
15,2024-11-21,Hotel,HKG,156.4,167.96,0.57,100,54,9069.84,0.54,17768,39,F,None,Direct,70,Business,NONE,False,False,0.0,-1.48,False,65.63,12.43,False,153.8,7.01,Low,,,
16,2024-05-07,Flight,HKG,552.29,504.68,0.41,239,98,49458.64,0.41,46581,70,F,None,Corporate,37,Leisure,CAMP_A,True,False,0.08,0.65,True,139.64,33.07,False,2270.65,27.04,Low,11676.0,773.91,False
17,2024-07-02,Flight,SIN,467.63,538.51,0.65,393,254,136781.54,0.646,11139,32,M,Platinum,Corporate,31,Business,CAMP_C,True,False,0.18,0.12,False,71.69,28.01,False,1584.11,5.28,Low,3581.0,900.01,False
18,2024-12-07,Hotel,SYD,141.98,183.84,0.79,55,44,8088.96,0.8,35825,55,F,None,Direct,41,Business,NONE,False,False,0.0,0.16,False,58.46,8.52,False,164.74,8.05,Medium,,,
19,2024-01-22,Flight,CDG,430.57,505.27,0.67,159,107,54063.89,0.673,49882,55,M,None,Agent,70,Business,CAMP_A,True,False,0.53,0.85,True,49.34,19.84,False,2402.27,37.5,Low,2628.0,838.83,False
20,2024-07-28,Flight,LHR,458.57,615.46,0.84,322,270,166174.2,0.839,42513,48,F,Silver,Direct,75,Other,CAMP_A,True,True,0.44,-0.56,False,121.66,32.98,False,2140.9,20.29,Low,1451.0,775.89,False
21,2024-01-25,Flight,LHR,519.39,618.67,0.69,291,198,122496.66,0.68,14406,41,M,None,OTA,25,Business,CAMP_A,True,False,0.26,-0.35,False,58.94,34.15,False,1852.84,21.48,Low,8164.0,861.88,False
22,2024-09-09,Hotel,LHR,264.72,373.97,0.91,91,78,29169.66,0.857,14388,36,F,Silver,OTA,19,Business,CAMP_A,True,False,0.04,0.72,False,33.67,8.2,False,118.96,2.51,Medium,,,
23,2024-07-06,Flight,JFK,396.68,466.87,0.68,307,202,94307.74,0.658,10404,28,F,None,OTA,30,Family,NONE,False,False,0.0,-0.53,False,73.31,37.35,False,1690.84,47.09,Low,13252.0,784.07,False
24,2024-03-28,Flight,SYD,726.25,639.49,0.38,174,69,44124.81,0.397,45270,27,F,None,Direct,93,Business,CAMP_A,True,False,0.44,0.6,False,25.55,26.76,False,1861.55,29.07,Low,12261.0,857.84,False
25,2024-11-27,Flight,CDG,525.44,713.27,0.86,263,221,157632.67,0.84,44620,25,M,Silver,OTA,7,Business,CAMP_A,True,False,0.44,0.71,True,86.89,29.85,False,1645.82,11.78,Medium,6431.0,924.91,False
26,2024-02-27,Flight,LHR,339.45,481.62,0.92,137,120,57794.4,0.876,11881,70,F,Silver,Direct,9,Other,CAMP_B,True,False,0.06,-0.82,False,23.44,31.25,False,2486.42,0.23,Low,10163.0,936.06,False
27,2024-07-11,Hotel,JFK,250.94,377.16,1.0,194,191,72037.56,0.985,27796,34,F,Silver,Agent,91,Leisure,NONE,False,False,0.0,0.18,True,95.45,7.98,False,139.25,12.54,Low,,,
28,2024-10-10,Flight,HKG,580.52,706.93,0.72,365,264,186629.52,0.723,22201,55,F,Gold,Direct,120,Business,NONE,False,False,0.0,0.8,False,95.2,33.72,False,2376.02,87.41,Low,2132.0,922.11,False
29,2024-03-07,Flight,CDG,458.31,501.05,0.59,394,233,116744.65,0.591,27505,19,M,None,Agent,44,Business,CAMP_B,True,False,0.1,0.29,True,36.71,39.6,False,2028.98,44.77,Low,14057.0,873.23,False
30,2024-06-15,Flight,SYD,485.23,516.16,0.56,285,156,80520.96,0.547,39871,21,M,Silver,OTA,46,Family,CAMP_B,True,True,0.36,0.61,False,62.92,36.18,False,2219.2,7.2,Low,14868.0,871.59,False
31,2024-11-11,Flight,HKG,443.72,482.46,0.59,284,170,82018.2,0.599,31618,46,M,None,Corporate,12,Business,NONE,False,False,0.0,0.73,False,1.48,29.79,False,1932.02,9.77,Low,8376.0,836.92,False
32,2024-12-11,Flight,DXB,555.61,709.78,0.78,283,224,158990.72,0.792,40786,59,F,Silver,Corporate,49,Family,CAMP_B,True,False,0.18,0.45,False,67.75,23.47,False,2005.22,7.29,Low,3211.0,864.31,False
33,2024-08-19,Flight,JFK,261.67,261.16,0.5,241,122,31861.52,0.506,46756,59,F,None,Agent,41,Business,NONE,False,False,0.0,-0.12,True,174.31,34.07,False,2326.14,23.75,Low,6223.0,821.79,False
34,2024-06-30,Hotel,DXB,156.7,223.27,0.92,184,166,37062.82,0.902,14485,19,M,Silver,Corporate,61,Business,CAMP_C,True,True,0.11,-0.43,False,96.77,9.08,False,126.18,0.71,Low,,,
35,2024-06-13,Hotel,HKG,154.41,203.28,0.82,148,123,25003.44,0.831,11195,41,M,None,OTA,2,Family,NONE,False,False,0.0,-0.51,True,83.56,6.53,False,150.87,7.98,Low,,,
36,2024-10-13,Flight,SIN,446.14,559.98,0.76,267,197,110316.06,0.738,12987,26,M,Gold,Corporate,82,Business,CAMP_A,True,False,0.45,-0.26,False,18.39,34.0,False,1557.62,31.83,Low,384.0,892.32,False
37,2024-02-07,Hotel,SYD,167.23,207.58,0.74,99,76,15776.08,0.768,22270,45,F,None,OTA,104,Business,NONE,False,False,0.0,0.15,True,29.48,6.14,False,134.02,22.01,Medium,,,
38,2024-03-11,Hotel,HKG,193.5,276.84,0.93,82,79,21870.36,0.963,42296,45,M,Silver,Direct,44,Leisure,CAMP_A,True,False,0.07,-1.21,False,45.95,5.08,False,157.63,6.64,Low,,,
39,2024-07-02,Flight,LHR,426.23,428.94,0.51,169,89,38175.66,0.527,22000,68,M,Gold,Direct,20,Leisure,CAMP_C,True,False,0.05,-0.13,False,121.11,34.11,False,1697.88,2.15,Low,3086.0,856.19,False
40,2024-12-23,Flight,SIN,524.74,729.64,0.89,397,350,255374.0,0.882,29653,50,M,Gold,Agent,38,Family,CAMP_C,True,False,0.14,0.17,False,37.52,26.82,True,2042.29,18.46,Low,4728.0,884.65,True
41,2024-11-09,Hotel,SIN,135.17,150.28,0.61,300,182,27350.96,0.607,32100,49,M,Silver,Agent,53,Business,CAMP_B,True,False,0.28,0.12,False,81.79,7.91,True,155.06,7.64,Low,,,
42,2024-09-26,Flight,CDG,337.76,440.97,0.81,286,231,101864.07,0.808,28291,43,F,None,Agent,65,Other,CAMP_A,True,True,0.31,-0.1,True,31.47,33.43,False,1550.34,36.55,Low,2775.0,782.77,False
43,2024-12-17,Flight,SIN,521.18,656.73,0.76,215,158,103763.34,0.735,13819,30,M,Silver,Agent,95,Family,NONE,False,False,0.0,-0.3,False,53.75,23.18,False,2012.51,39.65,Medium,1055.0,802.42,False
44,2024-11-07,Flight,JFK,580.96,670.77,0.65,147,99,66406.23,0.673,43523,50,F,Platinum,Corporate,74,Business,CAMP_B,True,True,0.37,0.77,False,54.79,42.19,False,1898.65,32.45,Medium,407.0,790.93,True
45,2024-08-29,Hotel,JFK,221.67,305.01,0.88,290,253,77167.53,0.872,23963,69,F,Gold,Agent,101,Leisure,CAMP_B,True,False,0.23,0.1,False,9.11,6.0,False,131.45,9.87,Medium,,,
46,2024-08-01,Flight,DXB,465.17,517.23,0.61,144,88,45516.24,0.611,35479,54,M,Silver,Direct,30,Leisure,NONE,False,False,0.0,0.54,False,15.71,29.98,False,1692.26,16.75,Low,1639.0,879.41,False
47,2024-10-15,Hotel,DXB,196.53,288.8,0.97,279,269,77687.2,0.964,13918,42,M,None,OTA,82,Leisure,NONE,False,False,0.0,-0.16,True,39.0,6.55,False,108.31,5.6,Low,,,
48,2024-08-21,Hotel,JFK,251.61,341.02,0.86,193,168,57291.36,0.87,18124,27,M,None,Corporate,63,Leisure,CAMP_B,True,False,0.29,0.38,False,110.93,11.12,False,195.2,8.4,Low,,,
49,2024-08-08,Hotel,SYD,176.4,174.04,0.49,66,32,5569.28,0.485,14730,50,M,Silver,OTA,71,Business,NONE,False,False,0.0,1.06,False,61.59,6.01,True,190.66,14.47,Medium,,,
50,2024-04-09,Hotel,SYD,210.94,247.25,0.67,247,166,41043.5,0.672,16439,38,F,None,Corporate,20,Leisure,NONE,False,False,0.0,0.13,True,19.42,10.8,False,170.0,18.77,Medium,,,
51,2024-09-09,Flight,HKG,667.65,936.05,0.9,386,346,323873.3,0.896,44561,54,M,None,OTA,112,Business,NONE,False,False,0.0,-0.66,True,28.95,35.95,False,1643.98,7.74,Low,2023.0,801.94,False
52,2024-05-30,Hotel,LHR,267.12,300.86,0.63,247,149,44828.14,0.603,15812,49,F,None,Direct,83,Business,CAMP_C,True,False,0.03,-0.52,True,114.58,7.0,False,216.55,5.06,High,,,
53,2024-05-31,Hotel,JFK,119.06,150.48,0.76,212,161,24227.28,0.759,14166,32,F,None,OTA,38,Business,CAMP_A,True,False,0.24,0.83,False,61.34,4.88,False,115.15,1.73,Low,,,
54,2024-02-07,Flight,LHR,377.76,391.78,0.54,390,205,80314.9,0.526,32277,38,M,Platinum,Corporate,43,Leisure,CAMP_A,True,False,0.5,-0.06,False,128.85,32.02,False,2077.49,17.02,Low,7055.0,830.51,False
55,2024-09-27,Flight,CDG,545.89,678.4,0.74,166,123,83443.2,0.741,38453,37,F,Gold,Direct,95,Other,CAMP_A,True,False,0.55,-0.24,False,13.58,37.82,False,1933.02,21.74,Low,9105.0,811.61,False
56,2024-10-21,Flight,SYD,512.81,536.64,0.55,303,163,87472.32,0.538,31952,56,M,None,OTA,1,Business,NONE,False,False,0.0,-0.55,True,42.0,29.76,False,1755.43,52.83,Medium,7596.0,797.52,False
57,2024-11-25,Flight,SIN,388.49,489.05,0.76,219,168,82160.4,0.767,11508,62,F,Silver,Direct,70,Leisure,CAMP_B,True,False,0.12,-0.24,False,81.7,24.43,False,2358.95,34.42,Medium,9488.0,825.57,False
